input,head,n_folds,dim,test_f1_mean,test_f1_std,test_auc_mean,test_auc_std,test_accuracy_mean,test_accuracy_std,test_precision_mean,test_precision_std,test_recall_mean,test_recall_std,test_specificity_mean,test_specificity_std,best_param_modal,best_param_freq,best_param_ndistinct
vid_velocity_r2plus1d,mlp_fixed,30,512,0.5931313131313132,0.20870572765075093,0.6569444444444444,0.1826670669375037,0.6196428571428572,0.13880886544442192,0.6323809523809524,0.24490396036121975,0.6138888888888889,0.26845960951556863,0.6361111111111111,0.25284145128745067,"{""dropout"": 0.5, ""weight_decay"": 0.001}",15/30,3
img_effort_swin,logistic_regression,30,768,0.5921428571428572,0.18715719829564662,0.6618055555555556,0.18348048996543634,0.6250000000000001,0.1220175516037207,0.6288888888888889,0.19022739635602798,0.6083333333333333,0.2645660800782469,0.6416666666666667,0.20663097578353712,"{""C"": 0.01, ""penalty"": ""l2""}",16/30,3
img_effort_vit,logistic_regression,30,768,0.5917460317460318,0.29886301603508103,0.7597222222222223,0.17298834663502569,0.6571428571428571,0.1848287908150269,0.6133333333333333,0.3194943322697453,0.6194444444444442,0.33739148484887893,0.6916666666666667,0.2803852713377466,"{""C"": 0.01, ""penalty"": ""l2""}",13/30,4
vid_acceleration_r2plus1d,mlp_fixed,30,512,0.5915175565175566,0.17953492869181012,0.7006944444444444,0.1628958607894148,0.5875,0.16799661431359386,0.6148412698412697,0.2056142600025263,0.6277777777777779,0.25117857568626417,0.5583333333333333,0.3072791858949955,"{""dropout"": 0.3, ""weight_decay"": 0.001}",17/30,4
img_raw_vit,mlp_small,30,768,0.5914814814814816,0.1854764748441836,0.6222222222222222,0.1767541170098986,0.5934523809523811,0.16391069676562264,0.6127777777777778,0.210485815237862,0.6305555555555556,0.2539754163946237,0.5694444444444444,0.24863933678253272,"{""dropout"": 0.5, ""weight_decay"": 0.001}",14/30,4
vid_effort_r2plus1d,mlp_fixed,30,512,0.5902380952380953,0.220350546004679,0.6444444444444445,0.16639105564059115,0.630357142857143,0.14651640403124258,0.6505555555555558,0.26506282539211934,0.5916666666666667,0.27712087076128755,0.6833333333333333,0.23407108328593546,"{""dropout"": 0.3, ""weight_decay"": 0.001}",16/30,4
img_rgb_vpz_swin,logistic_regression,30,768,0.589047619047619,0.18946736128282637,0.6583333333333333,0.16105866830448876,0.6386904761904763,0.14073886201492938,0.6777777777777777,0.24386469040967762,0.5611111111111111,0.22841001872486957,0.7194444444444444,0.23415632092879057,"{""C"": 1.0, ""penalty"": ""l1""}",13/30,5
img_acceleration_swin,random_forest,30,768,0.5888888888888888,0.14159587354182043,0.6145833333333334,0.16328740117700988,0.5964285714285714,0.11859932012151848,0.6081746031746033,0.1644559971998189,0.6083333333333333,0.21234640606467153,0.5944444444444444,0.20025526494115928,"{""max_depth"": 5, ""min_samples_leaf"": 3, ""n_estimators"": 100}",6/30,8
img_pressure_swin,svm_linear,30,768,0.587936507936508,0.18328260801395252,0.6770833333333335,0.18470538698382058,0.6113095238095239,0.15886894418427305,0.6644444444444445,0.25309325183647163,0.575,0.20336018288906588,0.6444444444444444,0.2959928203195395,"{""C"": 0.003}",27/30,3
img_rgb_vpa_swin,mlp_small,30,768,0.5876455026455026,0.19455155872923818,0.6361111111111112,0.21236989857003327,0.6065476190476192,0.15163048664570347,0.6127777777777779,0.21342326289398897,0.6111111111111112,0.2610886922795983,0.6027777777777777,0.2217607756902428,"{""dropout"": 0.5, ""weight_decay"": 0.001}",15/30,4
